step,ncycles,description,Exit condition,Value,Grid sim on_off,GridSimV,GridSimF,slew_rate,grid_relay,load_relay,e_load_W,eload_VAr,PV1_O,PV1_V,PV1_A,PV2_O,PV2_V,PV2_A,PV3_O,PV3_V,PV3_A,PV4_O,PV4_V,PV4_A,PV5_O,PV5_V,PV5_A,PV6_O,PV6_V,PV6_A
0,1,Step 0: AC input: ON | Load: OFF | PV: OFF | SOC>30,SOC>=,30,1,230,50,1000,1,0,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
1,1,Step 1: AC input: ON | Load: ON | PV: OFF | Wait 10 second,Timer,10,1,230,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
2,1,Step 3: AC input: ON 180VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,180,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
3,1,Step 4: AC input: ON 190VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,190,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
4,1,Step 5: AC input: ON 200VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,200,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
5,1,Step 6: AC input: ON 210VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,210,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
6,1,Step 7: AC input: ON 220VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,220,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
7,1,Step 8: AC input: ON 230VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,230,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
8,1,Step 9: AC input: ON 240VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,240,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
9,1,Step 10: AC input: ON 250VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,250,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
10,1,Step 11: AC input: ON 260VAC@50Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,260,45,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
11,1,Step 15: AC input: ON 260VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,260,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
12,1,Step 16: AC input: ON 250VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,250,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
13,1,Step 17: AC input: ON 240VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,240,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
14,1,Step 18: AC input: ON 230VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,230,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
15,1,Step 19: AC input: ON 220VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,220,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
16,1,Step 20: AC input: ON 210VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,210,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
17,1,Step 21: AC input: ON 200VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,200,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
18,1,Step 22: AC input: ON 190VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,190,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
19,1,Step 23: AC input: ON 180VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,180,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
20,1,Step 24: AC input: ON 170VAC@60Hz| Load: ON | PV: OFF | Wait 10 second,Timer,10,1,170,55,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
21,1,Step 25: AC input: OFF 230VAC@50Hz| Load: ON | PV: OFF | Wait 180 second,Timer,180,0,230,50,1000,0,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
22,1,Step 26: AC input: ON 230VAC@50Hz| Load: ON | PV: OFF | Wait 180 second,Timer,180,1,230,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
23,1,Step 26: AC input: OFF 230VAC@50Hz| Load: OFF | PV: OFF | Wait 10 second,Timer,10,0,230,50,1000,0,0,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
