step,time,pv1_input_current_sum,pv1_input_current_avg,4000100388 output_source_priority,4000100388 charger_source_priority,4000100388 input_voltage_range,4000100388 ac_output_voltage,4000100388 ac_output_frequency,4000100388 max_ac_charging_current,4000100388 ac_input_current,4000100388 battery_charging_current,4000100388 ac_input_active_power,4000100388 ac_output_active_power,4000100388 pv1_input_current,4000100388 mode,4000100388 fault_mode,4000100237 output_source_priority,4000100237 charger_source_priority,4000100237 input_voltage_range,4000100237 ac_output_voltage,4000100237 ac_output_frequency,4000100237 max_ac_charging_current,4000100237 ac_input_current,4000100237 battery_charging_current,4000100237 ac_input_active_power,4000100237 ac_output_active_power,4000100237 pv1_input_current,4000100237 mode,4000100237 fault_mode
0,2024-04-23T14:40:38.607756,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
1,2024-04-23T14:40:40.841321,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
1,2024-04-23T14:40:42.518059,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
1,2024-04-23T14:40:44.174516,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
1,2024-04-23T14:40:45.896961,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
1,2024-04-23T14:40:47.663113,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
1,2024-04-23T14:40:49.378657,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
2,2024-04-23T14:40:52.698212,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
2,2024-04-23T14:40:54.506470,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
2,2024-04-23T14:40:56.152161,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
2,2024-04-23T14:40:58.081665,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48
2,2024-04-23T14:40:59.617283,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,4,0,0.0,S,48
2,2024-04-23T14:41:01.146501,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,4,0,0.0,S,48
3,2024-04-23T14:41:04.553105,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,0,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.1,0,23,0,0.0,S,48
3,2024-04-23T14:41:06.156700,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,9,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.1,0,23,0,0.0,S,48
3,2024-04-23T14:41:07.684832,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,9,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.1,0,23,0,0.0,S,48
3,2024-04-23T14:41:09.451088,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,13,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,11,0,0.0,S,48
3,2024-04-23T14:41:11.015682,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,13,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,0,11,0,0.0,S,48
3,2024-04-23T14:41:12.793094,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,0.0,9,13,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.2,0,994,0,0.0,S,48
3,2024-04-23T14:41:14.403465,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.7,9,520,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.2,0,994,0,0.0,S,48
4,2024-04-23T14:41:17.640166,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.7,8,520,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,7.1,22,1366,0,0.0,S,48
4,2024-04-23T14:41:19.268614,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,494,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,7.1,22,1366,0,0.0,S,48
4,2024-04-23T14:41:20.964459,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,494,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.6,20,1124,0,0.0,S,48
