step,ncycles,description,Exit condition,Value,Grid sim on_off,GridSimV,GridSimF,slew_rate,grid_relay,load_relay,e_load_W,eload_VAr,PV1_O,PV1_V,PV1_A,PV2_O,PV2_V,PV2_A,PV3_O,PV3_V,PV3_A,PV4_O,PV4_V,PV4_A,PV5_O,PV5_V,PV5_A,PV6_O,PV6_V,PV6_A
0,1,Step preparation: AC input: ON | Load: OFF | PV: OFF | SOC>30,SOC>=,30,1,230,50,1000,1,0,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
1,1,Step 1: AC input: ON | Load: ON | PV: OFF | Wait 40 seconds,Timer,40,1,230,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
2,1,Step 2: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 165VAC@50Hz,Timer,30,1,165,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
3,1,Step 3: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 170VAC@50Hz,Timer,30,1,170,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
4,1,Step 4: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 175VAC@50Hz,Timer,30,1,175,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
5,1,Step 5: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 180VAC@50Hz,Timer,30,1,180,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
6,1,Step 6: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 185VAC@50Hz,Timer,30,1,185,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
7,1,Step 7: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 190VAC@50Hz,Timer,30,1,190,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
8,1,Step 8: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 195VAC@50Hz,Timer,30,1,195,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
9,1,Step 9: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 200VAC@50Hz,Timer,30,1,200,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
10,1,Step 10: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 205VAC@50Hz,Timer,30,1,205,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
11,1,Step 11: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 210VAC@50Hz,Timer,30,1,210,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
12,1,Step 12: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 215VAC@50Hz,Timer,30,1,215,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
13,1,Step 13: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 220VAC@50Hz,Timer,30,1,220,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
14,1,Step 14: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 225VAC@50Hz,Timer,30,1,225,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
15,1,Step 15: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 230VAC@50Hz,Timer,30,1,230,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
16,1,Step 16: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 235VAC@50Hz,Timer,30,1,235,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
17,1,Step 17: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 240VAC@50Hz,Timer,30,1,240,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
18,1,Step 18: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 245VAC@50Hz,Timer,30,1,245,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
19,1,Step 19: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 250VAC@50Hz,Timer,30,1,250,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
20,1,Step 20: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 255VAC@50Hz,Timer,30,1,255,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
21,1,Step 21: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 260VAC@50Hz,Timer,30,1,260,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
22,1,Step 22: AC input: ON | Load: ON | PV: OFF | Sweep voltage to 265VAC@50Hz,Timer,30,1,265,50,1000,1,1,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
23,1,Step 23: AC input: OFF | Load: OFF | PV: OFF | Wait 10 seconds,Timer,10,0,230,50,1000,0,0,0,0,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30,0,350,30
