Timestamp,URMS,UMN,UDC,UAC,IRMS,IMN,IDC,IAC,P,S,Q,LAMB,PHI,FU,FI
2024-05-02T12:14:12,0.0,0.0,-0.12,230.1,1.09,0.0,-0.02,1.09,-0.0,251.0,251.0,-0.0012,90.07,nan,nan
2024-05-02T12:14:13,230.2,230.16,-0.29,230.2,1.08,0.0,-0.02,1.08,-1.0,249.0,249.0,-0.0027,90.15,nan,nan
2024-05-02T12:14:15,230.12,230.07,-0.15,230.12,1.08,0.0,-0.02,1.08,-1.0,249.0,249.0,-0.0023,90.13,nan,nan
2024-05-02T12:14:16,230.13,230.05,-0.31,230.13,1.08,0.0,-0.02,1.08,-1.0,249.0,249.0,-0.0025,90.14,nan,nan
2024-05-02T12:14:17,230.14,230.07,-0.33,230.14,1.08,0.0,-0.02,1.08,-1.0,248.0,248.0,-0.0033,90.19,nan,nan
2024-05-02T12:14:18,230.16,230.09,-0.25,230.16,1.07,0.0,-0.02,1.07,-0.0,247.0,247.0,-0.001,90.06,nan,nan
2024-05-02T12:14:20,230.2,230.03,0.05,230.2,1.07,0.0,-0.02,1.07,-1.0,247.0,247.0,-0.003,90.17,nan,nan
2024-05-02T12:14:21,230.47,230.28,0.1,230.47,1.08,0.0,-0.02,1.08,-1.0,248.0,248.0,-0.0029,90.17,nan,nan
2024-05-02T12:14:22,230.14,229.93,0.09,230.14,1.08,0.0,-0.02,1.07,-1.0,247.0,247.0,-0.0022,90.13,nan,nan
2024-05-02T12:14:23,230.17,229.91,0.13,230.17,1.08,0.0,-0.02,1.08,-0.0,248.0,248.0,-0.0018,90.1,nan,nan
2024-05-02T12:14:25,230.1,229.84,0.26,230.1,1.08,0.0,-0.02,1.08,-1.0,250.0,250.0,-0.0022,90.13,nan,nan
2024-05-02T12:14:26,230.13,229.9,-0.02,230.13,1.09,0.0,-0.02,1.09,-1.0,250.0,250.0,-0.0022,90.13,nan,nan
2024-05-02T12:14:27,230.36,230.1,0.13,230.36,1.16,0.0,-0.02,1.16,-0.0,267.0,267.0,-0.0017,90.09,nan,nan
2024-05-02T12:14:29,230.15,229.81,-4.22,230.12,1.16,0.0,-0.02,1.16,-1.0,267.0,267.0,-0.002,90.12,nan,nan
2024-05-02T12:14:30,230.04,229.69,4.22,230.0,1.16,0.0,-0.02,1.16,-1.0,267.0,267.0,-0.0021,90.12,nan,nan
2024-05-02T12:14:31,230.0,229.68,4.26,229.96,1.15,0.0,-0.02,1.15,-0.0,264.0,264.0,-0.0018,90.11,nan,nan
2024-05-02T12:14:33,230.07,229.88,-4.26,230.03,1.17,0.0,-0.02,1.17,-1.0,270.0,270.0,-0.0019,90.11,nan,nan
2024-05-02T12:14:34,230.19,229.86,0.01,230.19,1.19,0.0,-0.03,1.19,-0.0,274.0,274.0,-0.0017,90.1,nan,nan
2024-05-02T12:14:36,230.21,229.91,-4.24,230.17,1.16,0.0,-0.02,1.16,-0.0,266.0,266.0,-0.0014,90.08,nan,nan
2024-05-02T12:14:37,230.17,229.82,-4.15,230.13,1.17,0.0,-0.02,1.17,-0.0,268.0,268.0,-0.0011,90.06,nan,nan
2024-05-02T12:14:38,230.11,229.72,4.19,230.08,1.16,0.0,-0.02,1.16,-1.0,268.0,268.0,-0.0035,90.2,nan,nan
2024-05-02T12:14:39,229.8,229.62,4.17,229.76,1.17,0.0,-0.02,1.17,-1.0,268.0,268.0,-0.0024,90.14,nan,nan
2024-05-02T12:14:41,229.94,229.77,4.25,229.9,1.18,0.0,-0.02,1.18,-0.0,270.0,270.0,-0.0013,90.07,nan,nan
2024-05-02T12:14:42,229.92,229.76,4.2,229.88,1.18,0.0,-0.02,1.18,-1.0,272.0,272.0,-0.0039,90.22,nan,nan
2024-05-02T12:14:43,229.93,229.76,4.2,229.89,1.17,0.0,-0.02,1.17,-1.0,270.0,270.0,-0.0022,90.13,nan,nan
2024-05-02T12:14:44,229.94,229.8,4.23,229.9,1.17,0.0,-0.02,1.17,-1.0,269.0,269.0,-0.002,90.11,nan,nan
2024-05-02T12:14:45,229.97,229.85,-4.25,229.93,1.18,0.0,-0.02,1.18,-1.0,271.0,271.0,-0.0029,90.17,nan,nan
2024-05-02T12:14:47,229.99,229.88,-4.22,229.95,1.18,0.0,-0.02,1.18,-0.0,271.0,271.0,-0.0003,90.02,nan,nan
2024-05-02T12:14:48,229.98,229.86,-4.25,229.94,1.17,0.0,-0.02,1.17,-1.0,269.0,269.0,-0.0024,90.14,nan,nan
2024-05-02T12:14:49,230.01,229.91,-4.27,229.97,1.15,0.0,-0.02,1.15,-0.0,265.0,265.0,-0.0011,90.06,nan,nan
2024-05-02T12:14:50,230.02,229.94,-4.18,229.98,1.15,0.0,-0.03,1.15,-0.0,264.0,264.0,-0.0018,90.1,nan,nan
2024-05-02T12:14:51,229.97,229.86,-4.24,229.93,1.2,0.0,-0.02,1.2,-1.0,275.0,275.0,-0.0023,90.13,nan,nan
2024-05-02T12:14:52,229.92,229.74,4.17,229.88,1.18,0.0,-0.02,1.18,-0.0,271.0,271.0,-0.0012,90.07,nan,nan
2024-05-02T12:14:54,229.98,229.86,-4.2,229.94,1.15,0.0,-0.02,1.15,-0.0,265.0,265.0,-0.0013,90.07,nan,nan
2024-05-02T12:14:55,229.99,229.87,-4.28,229.95,1.16,0.0,-0.02,1.16,-1.0,267.0,267.0,-0.0021,90.12,nan,nan
2024-05-02T12:14:56,229.99,229.87,-4.21,229.95,1.18,0.0,-0.02,1.18,-0.0,271.0,271.0,-0.0,90.0,nan,nan
2024-05-02T12:14:57,229.97,229.85,-4.22,229.93,1.18,0.0,-0.02,1.18,-0.0,272.0,272.0,-0.0009,90.05,nan,nan
2024-05-02T12:14:58,229.99,229.87,-4.27,229.95,1.18,0.0,-0.02,1.18,-1.0,271.0,271.0,-0.0022,90.13,nan,nan
2024-05-02T12:15:00,229.94,229.77,4.23,229.9,1.2,0.0,-0.02,1.2,-0.0,276.0,276.0,-0.001,90.06,nan,nan
2024-05-02T12:15:01,229.96,229.83,-4.22,229.92,1.16,0.0,-0.02,1.16,-0.0,267.0,267.0,-0.0016,90.09,nan,nan
2024-05-02T12:15:02,229.93,229.78,-0.03,229.93,1.18,0.0,-0.02,1.18,-0.0,271.0,271.0,-0.0014,90.08,nan,nan
2024-05-02T12:15:03,229.97,229.84,0.04,229.97,1.15,0.0,-0.02,1.15,-0.0,265.0,265.0,-0.0007,90.04,nan,nan
2024-05-02T12:15:04,229.97,229.88,-4.28,229.93,1.17,0.0,-0.02,1.17,-1.0,270.0,270.0,-0.0022,90.13,nan,nan
2024-05-02T12:15:06,229.94,229.85,4.25,229.86,1.16,0.0,-0.02,1.16,-0.0,267.0,267.0,-0.0016,90.09,nan,nan
2024-05-02T12:15:07,229.88,229.8,4.18,229.84,1.19,0.0,-0.02,1.19,-1.0,274.0,274.0,-0.003,90.17,nan,nan
2024-05-02T12:15:08,229.91,229.89,-4.23,229.87,1.15,0.0,-0.02,1.15,-0.0,265.0,265.0,-0.0014,90.08,nan,nan
2024-05-02T12:15:10,229.88,229.84,0.01,229.88,1.19,0.0,-0.02,1.19,-0.0,273.0,273.0,-0.0013,90.08,nan,nan
2024-05-02T12:15:11,229.9,229.9,4.19,229.86,1.18,0.0,-0.02,1.17,-1.0,270.0,270.0,-0.0035,90.2,nan,nan
2024-05-02T12:15:12,229.87,229.86,-0.01,229.87,1.17,0.0,-0.02,1.17,-0.0,270.0,270.0,-0.0004,90.02,nan,nan
2024-05-02T12:15:13,229.88,229.89,0.01,229.88,1.19,0.0,-0.02,1.19,-1.0,272.0,272.0,-0.0029,90.17,nan,nan
2024-05-02T12:15:14,229.88,229.89,-0.05,229.88,1.18,0.0,-0.02,1.18,-1.0,271.0,271.0,-0.0024,90.14,nan,nan
2024-05-02T12:15:16,229.83,229.79,0.04,229.83,1.16,0.0,-0.02,1.16,-0.0,267.0,267.0,-0.0012,90.07,nan,nan
2024-05-02T12:15:17,229.85,229.83,-0.04,229.85,1.18,0.0,-0.03,1.18,-1.0,271.0,271.0,-0.002,90.11,nan,nan
2024-05-02T12:15:18,229.87,229.88,-4.27,229.83,1.15,0.0,-0.02,1.15,-0.0,265.0,265.0,-0.0014,90.08,nan,nan
2024-05-02T12:15:19,229.78,229.7,0.02,229.78,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0019,90.11,nan,nan
2024-05-02T12:15:20,229.79,229.72,4.17,229.75,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0031,90.18,nan,nan
2024-05-02T12:15:22,229.79,229.69,4.18,229.75,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0011,90.07,nan,nan
2024-05-02T12:15:23,229.96,229.81,4.24,229.92,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0025,90.14,nan,nan
2024-05-02T12:15:24,229.9,229.77,4.16,229.86,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0034,90.19,nan,nan
2024-05-02T12:15:25,229.87,229.75,4.2,229.83,1.14,0.0,-0.02,1.14,-0.0,263.0,263.0,-0.0014,90.08,nan,nan
2024-05-02T12:15:27,229.88,229.82,-4.22,229.86,1.14,0.0,-0.02,1.14,-1.0,263.0,263.0,-0.0031,90.18,nan,nan
2024-05-02T12:15:28,229.86,229.84,0.02,229.86,1.14,0.0,-0.02,1.14,-0.0,263.0,263.0,-0.0016,90.09,nan,nan
2024-05-02T12:15:29,229.8,229.76,4.19,229.76,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0029,90.17,nan,nan
2024-05-02T12:15:31,229.8,229.83,4.16,229.76,1.15,0.0,-0.02,1.14,-1.0,263.0,263.0,-0.0025,90.14,nan,nan
2024-05-02T12:15:32,229.77,229.81,4.23,229.74,1.13,0.0,-0.02,1.13,-1.0,261.0,261.0,-0.0023,90.13,nan,nan
2024-05-02T12:15:33,229.9,229.88,-4.28,229.86,1.13,0.0,-0.02,1.13,-1.0,261.0,261.0,-0.0022,90.12,nan,nan
2024-05-02T12:15:34,229.8,229.72,4.35,229.76,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0021,90.12,nan,nan
2024-05-02T12:15:36,229.88,229.87,0.04,229.88,1.13,0.0,-0.02,1.13,-0.0,260.0,260.0,-0.0017,90.1,nan,nan
2024-05-02T12:15:37,229.87,229.85,-4.26,229.83,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0026,90.15,nan,nan
2024-05-02T12:15:38,229.83,230.03,-0.04,229.83,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0024,90.14,nan,nan
2024-05-02T12:15:39,229.82,230.17,0.0,229.82,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0014,90.08,nan,nan
2024-05-02T12:15:40,229.86,230.21,-0.04,229.86,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0027,90.15,nan,nan
2024-05-02T12:15:41,229.83,230.16,4.17,229.79,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0018,90.1,nan,nan
2024-05-02T12:15:42,229.84,230.2,-4.4,229.8,1.13,0.0,-0.02,1.13,-0.0,260.0,260.0,-0.0017,90.1,nan,nan
2024-05-02T12:15:44,229.8,230.12,4.17,229.76,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0025,90.14,nan,nan
2024-05-02T12:15:45,229.84,230.2,-0.0,229.84,1.13,0.0,-0.02,1.13,-0.0,260.0,260.0,-0.0015,90.09,nan,nan
2024-05-02T12:15:46,229.81,230.14,4.22,229.78,1.13,0.0,-0.03,1.13,-1.0,260.0,260.0,-0.0036,90.21,nan,nan
2024-05-02T12:15:47,229.85,230.21,-0.04,229.85,1.12,0.0,-0.02,1.12,-1.0,257.0,257.0,-0.0025,90.15,nan,nan
2024-05-02T12:15:48,229.81,230.13,4.22,229.77,1.12,0.0,-0.02,1.12,-1.0,258.0,258.0,-0.0026,90.15,nan,nan
2024-05-02T12:15:50,229.82,230.16,4.2,229.78,1.13,0.0,-0.03,1.13,-1.0,260.0,260.0,-0.0024,90.14,nan,nan
2024-05-02T12:15:51,229.86,230.22,4.19,229.82,1.13,0.0,-0.02,1.13,-1.0,261.0,261.0,-0.0033,90.19,nan,nan
2024-05-02T12:15:52,229.8,230.12,4.25,229.76,1.12,0.0,-0.02,1.12,-0.0,259.0,259.0,-0.0019,90.11,nan,nan
2024-05-02T12:15:53,229.82,230.15,-0.03,229.82,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0027,90.16,nan,nan
2024-05-02T12:15:54,229.81,230.18,-0.04,229.81,1.13,0.0,-0.03,1.13,-1.0,260.0,260.0,-0.0027,90.16,nan,nan
2024-05-02T12:15:55,229.75,230.08,4.26,229.71,1.14,0.0,-0.02,1.14,-1.0,261.0,261.0,-0.002,90.11,nan,nan
2024-05-02T12:15:57,229.77,230.14,-0.06,229.77,1.13,0.0,-0.03,1.13,-1.0,261.0,261.0,-0.0027,90.16,nan,nan
2024-05-02T12:15:58,229.69,230.02,4.18,229.65,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0029,90.17,nan,nan
2024-05-02T12:15:59,229.65,230.0,4.25,229.61,1.12,0.0,-0.03,1.12,-1.0,258.0,258.0,-0.002,90.12,nan,nan
2024-05-02T12:16:00,229.65,230.01,-0.08,229.65,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.003,90.17,nan,nan
2024-05-02T12:16:01,229.59,229.91,4.2,229.55,1.12,0.0,-0.02,1.12,-1.0,257.0,257.0,-0.0025,90.14,nan,nan
2024-05-02T12:16:02,229.61,229.97,0.0,229.61,1.12,0.0,-0.02,1.12,-1.0,257.0,257.0,-0.0022,90.13,nan,nan
2024-05-02T12:16:04,229.58,229.91,-0.06,229.58,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0025,90.14,nan,nan
2024-05-02T12:16:05,229.46,229.7,4.2,229.42,1.12,0.0,-0.02,1.12,-1.0,257.0,257.0,-0.002,90.11,nan,nan
2024-05-02T12:16:06,229.49,229.73,4.2,229.45,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0024,90.14,nan,nan
2024-05-02T12:16:07,229.42,229.55,4.32,229.38,1.16,0.0,-0.02,1.16,-1.0,267.0,267.0,-0.003,90.17,nan,nan
2024-05-02T12:16:08,229.46,229.64,4.23,229.42,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0009,90.05,nan,nan
2024-05-02T12:16:09,229.42,229.56,-0.03,229.42,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0017,90.1,nan,nan
2024-05-02T12:16:11,229.48,229.7,-4.25,229.44,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0025,90.14,nan,nan
2024-05-02T12:16:12,229.41,229.54,-4.18,229.38,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0004,90.02,nan,nan
2024-05-02T12:16:13,229.42,229.55,-0.04,229.42,1.13,0.0,-0.02,1.12,-1.0,258.0,258.0,-0.0023,90.13,nan,nan
2024-05-02T12:16:14,229.48,229.68,-4.25,229.44,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0014,90.08,nan,nan
2024-05-02T12:16:15,229.47,229.68,0.03,229.47,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0017,90.1,nan,nan
2024-05-02T12:16:16,229.45,229.66,-0.05,229.45,1.13,0.0,-0.02,1.13,-0.0,258.0,258.0,-0.0018,90.11,nan,nan
2024-05-02T12:16:18,229.46,229.7,-0.02,229.46,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0026,90.15,nan,nan
2024-05-02T12:16:19,229.45,229.65,0.04,229.45,1.13,0.0,-0.02,1.13,-0.0,260.0,260.0,-0.0011,90.06,nan,nan
2024-05-02T12:16:20,229.47,229.7,-0.04,229.47,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0026,90.15,nan,nan
2024-05-02T12:16:21,229.46,229.67,-0.02,229.46,1.13,0.0,-0.02,1.13,-1.0,258.0,258.0,-0.0026,90.15,nan,nan
2024-05-02T12:16:22,229.44,229.63,0.03,229.44,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0014,90.08,nan,nan
2024-05-02T12:16:24,229.48,229.71,4.17,229.44,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0036,90.21,nan,nan
2024-05-02T12:16:25,229.46,229.67,-4.21,229.43,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0011,90.07,nan,nan
2024-05-02T12:16:27,229.47,229.66,-4.27,229.43,1.14,0.0,-0.02,1.14,-1.0,261.0,261.0,-0.0031,90.18,nan,nan
2024-05-02T12:16:28,229.41,229.57,4.21,229.37,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0022,90.13,nan,nan
2024-05-02T12:16:29,229.43,229.64,4.22,229.39,1.13,0.0,-0.03,1.13,-1.0,259.0,259.0,-0.0027,90.15,nan,nan
2024-05-02T12:16:30,229.5,229.78,-4.25,229.46,1.12,0.0,-0.02,1.12,-0.0,258.0,258.0,-0.0015,90.08,nan,nan
2024-05-02T12:16:32,229.5,229.75,-4.21,229.46,1.12,0.0,-0.02,1.12,-0.0,257.0,257.0,-0.0016,90.09,nan,nan
2024-05-02T12:16:33,229.43,229.61,0.01,229.43,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0023,90.13,nan,nan
2024-05-02T12:16:34,229.46,229.67,-4.27,229.42,1.14,0.0,-0.02,1.14,-1.0,261.0,261.0,-0.0028,90.16,nan,nan
2024-05-02T12:16:35,229.41,229.59,4.25,229.37,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0007,90.04,nan,nan
2024-05-02T12:16:36,229.41,229.59,4.17,229.38,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0026,90.15,nan,nan
2024-05-02T12:16:37,229.43,229.62,-0.05,229.43,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0028,90.16,nan,nan
2024-05-02T12:16:39,229.47,229.69,-4.19,229.43,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0016,90.09,nan,nan
2024-05-02T12:16:40,229.45,229.69,-0.03,229.45,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0025,90.14,nan,nan
2024-05-02T12:16:41,229.45,229.69,-4.24,229.41,1.12,0.0,-0.02,1.12,-0.0,258.0,258.0,-0.0014,90.08,nan,nan
2024-05-02T12:16:42,229.39,229.56,4.24,229.35,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0018,90.11,nan,nan
2024-05-02T12:16:43,229.44,229.65,-0.05,229.44,1.14,0.0,-0.02,1.14,-1.0,263.0,263.0,-0.0028,90.16,nan,nan
2024-05-02T12:16:44,229.44,229.67,-4.23,229.4,1.13,0.0,-0.02,1.13,-0.0,258.0,258.0,-0.0015,90.09,nan,nan
2024-05-02T12:16:46,229.44,229.65,-4.21,229.4,1.12,0.0,-0.02,1.12,-0.0,257.0,257.0,-0.0015,90.09,nan,nan
2024-05-02T12:16:47,229.47,229.69,-4.27,229.43,1.13,0.0,-0.02,1.13,-0.0,258.0,258.0,-0.0018,90.11,nan,nan
2024-05-02T12:16:48,229.42,229.62,0.01,229.42,1.12,0.0,-0.02,1.12,-1.0,257.0,257.0,-0.0022,90.13,nan,nan
2024-05-02T12:16:49,229.47,229.69,-4.44,229.43,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0021,90.12,nan,nan
2024-05-02T12:16:50,229.41,229.59,4.34,229.37,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0033,90.19,nan,nan
2024-05-02T12:16:51,229.43,229.61,-4.19,229.39,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0022,90.12,nan,nan
2024-05-02T12:16:53,229.47,229.71,-4.26,229.43,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0024,90.14,nan,nan
2024-05-02T12:16:54,229.46,229.65,-4.27,229.42,1.15,0.0,-0.02,1.15,-1.0,264.0,264.0,-0.0025,90.14,nan,nan
2024-05-02T12:16:55,229.46,229.69,-4.18,229.42,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0016,90.09,nan,nan
2024-05-02T12:16:56,229.46,229.69,-0.05,229.46,1.13,0.0,-0.02,1.13,-1.0,259.0,259.0,-0.0028,90.16,nan,nan
2024-05-02T12:16:57,229.43,229.62,-0.03,229.43,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0018,90.1,nan,nan
2024-05-02T12:16:59,229.43,229.61,-0.01,229.43,1.12,0.0,-0.02,1.12,-0.0,258.0,258.0,-0.0018,90.1,nan,nan
2024-05-02T12:17:00,229.48,229.73,-0.07,229.48,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.002,90.11,nan,nan
2024-05-02T12:17:01,229.45,229.66,-4.23,229.41,1.13,0.0,-0.02,1.13,-0.0,260.0,260.0,-0.0013,90.07,nan,nan
2024-05-02T12:17:02,229.48,229.76,0.0,229.48,1.14,0.0,-0.02,1.14,-1.0,261.0,261.0,-0.0028,90.16,nan,nan
2024-05-02T12:17:03,229.46,229.71,-0.05,229.46,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0031,90.18,nan,nan
2024-05-02T12:17:04,229.47,229.7,-4.19,229.43,1.13,0.0,-0.02,1.13,-0.0,260.0,260.0,-0.0009,90.05,nan,nan
2024-05-02T12:17:06,229.42,229.6,4.35,229.38,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0019,90.11,nan,nan
2024-05-02T12:17:07,229.42,229.6,4.17,229.38,1.14,0.0,-0.03,1.14,-1.0,261.0,261.0,-0.0033,90.19,nan,nan
2024-05-02T12:17:08,229.46,229.68,0.03,229.46,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0011,90.06,nan,nan
2024-05-02T12:17:09,229.48,229.69,-4.26,229.44,1.14,0.0,-0.02,1.14,-1.0,262.0,262.0,-0.0038,90.21,nan,nan
2024-05-02T12:17:10,229.51,229.78,-4.24,229.48,1.14,0.0,-0.02,1.14,-0.0,261.0,261.0,-0.0013,90.08,nan,nan
2024-05-02T12:17:11,229.42,229.57,4.22,229.38,1.13,0.0,-0.03,1.13,-1.0,259.0,259.0,-0.0023,90.13,nan,nan
2024-05-02T12:17:12,229.42,229.6,-0.05,229.42,1.13,0.0,-0.02,1.13,-1.0,260.0,260.0,-0.0032,90.18,nan,nan
2024-05-02T12:17:14,229.45,229.65,-4.22,229.41,1.13,0.0,-0.02,1.13,-0.0,259.0,259.0,-0.0013,90.08,nan,nan
2024-05-02T12:17:15,229.45,229.68,-4.2,229.41,1.12,0.0,-0.02,1.12,-0.0,257.0,257.0,-0.0019,90.11,nan,nan
2024-05-02T12:17:16,229.47,229.71,-4.28,229.43,1.12,0.0,-0.02,1.12,-1.0,256.0,256.0,-0.0026,90.15,nan,nan
2024-05-02T12:17:17,229.47,229.71,-4.23,229.43,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0012,90.07,nan,nan
2024-05-02T12:17:18,229.45,229.66,-0.02,229.45,1.14,0.0,-0.02,1.14,-0.0,262.0,262.0,-0.0018,90.11,nan,nan
2024-05-02T12:17:19,229.41,229.57,4.15,229.37,1.14,0.0,-0.02,1.14,-1.0,261.0,261.0,-0.0032,90.18,nan,nan
2024-05-02T12:17:21,229.47,229.72,4.25,229.43,1.13,0.0,-0.03,1.13,-0.0,258.0,258.0,-0.0013,90.08,nan,nan
2024-05-02T12:17:22,229.4,229.56,4.19,229.36,1.14,0.0,-0.03,1.14,-1.0,261.0,261.0,-0.0019,90.11,nan,nan
2024-05-02T12:17:23,229.41,229.61,4.19,229.38,1.15,0.0,-0.02,1.15,-1.0,264.0,264.0,-0.0027,90.15,nan,nan
